Codice;Sigla;Descrizione Prodotto;Listino Febbraio 2026 Euro cad.;
Interruttore Crepuscolare - Serie ZE;;;;
G3CQH;ZE-ICR;INTERRUTTORE CREPUSCOLARE In Esaurimento; 	72,32 ;
Strumenti di Misura - Relè Gestione Carichi - Serie ZC;;;;
G3V6A;ZC-RGCA/230;RELE' DI MASSIMO CONSUMO GESTIONE CARICHI ANALOGICO 2 moduli; 	67,41 ;
G3V6B;ZC-RGCD/230;RELE' DI MASSIMO CONSUMO GESTIONE CARICHI DIGITALE 2 moduli; 	152,70 ;
Strumenti di Misura - Contaore - Serie ZC/ZE;;;;
G3CRK;ZE-CTH/230;CONTAORE 5 INTERI + 2 DECIMALI 230V 2 moduli  In Esaurimento; 	43,17 ;
Strumenti di Misura - Contatori - Serie ZC/ZE;;;;
G3V25;ZC-KW1/230;CONTATORE DI ENERGIA MONOFASE INSERZIONE DIRETTA 30A 230V 1 modulo; 	107,50 ;
G3V21;ZC-KW/230;CONTATORE DI ENERGIA MONOFASE INSERZIONE DIRETTA 30A 230V 2 moduli; 	163,70 ;
G3V26;ZC-KW/230-63;CONTATORE DI ENERGIA MONOFASE INSERZIONE DIRETTA 63A 230V 2 moduli In Esaurimento; 	144,00 ;
G3CRQ;ZE-KW/400-63;CONTATORE DI ENERGIA TRIFASE+N INSERZIONE DIRETTA 63A 400V 3 moduli  In Esaurimento; 	335,60 ;
G3V33;ZC-KW4/400;CONTATORE DI ENERGIA TRIFASE + N INSERZIONE TA 400V AC 4 moduli; 	350,50 ;
Strumenti di Misura - Amperometri - Serie ZC;;;;
G3V3Q;ZC-AMA/10;AMPEROMETRO ANALOGICO DIRETTO 10A In Esaurimento; 	35,15 ;
G3V4K;ZC-AMD2/999;AMPEROMETRO DIGITALE 999A 2 moduli; 	94,29 ;
Strumenti di Misura - Voltmetri - Serie ZC;;;;
G3V3X;ZC-VMA/500;VOLTMETRO ANALOGICO 500V 3 moduli In Esaurimento; 	35,15 ;
G3V4J;ZC-VMD2/500;VOLTMETRO DIGITALE      500V 2 moduli; 	100,90 ;
Strumenti di Misura - Voltmetro + Amperometro - Serie ZC;;;;
G3V4L;ZC-VMAMD;AMPEROMETRO + VOLTMETRO DIGITALE 2 moduli; 	139,60 ;
Strumenti di Misura - Multimetro - Serie ZC/ZE;;;;
G3CRF;BY6150-485;ANALIZZATORE DI RETE MULTIFUNZIONE 3P+N 400Vca RS485 4 mod.; 	389,30 ;
G3V6E;ZC-MULT2/D;ANALIZZATORE DI RETE 2 moduli; 	221,30 ;
Strumenti di Misura - Commutatori;;;;
G14WY;M10H SMA V1 ;COMMUTATORE VOLTMETRICO 20A - 7 POSIZIONI ; 	60,10 ;
G14WZ;M10H SMA M31;COMMUTATORE AMPEROMETRICO 20A - 4 POSIZIONI 0-1-2-3; 	64,96 ;
Strumenti di Misura - Trasformatori di Corrente - Serie ZL;;;;
G3VM2;ZL-TA/ 400;TRASFORMATORE DI CORRENTE 400/5A  Classe 0,5 VA 6 In Esaurimento; 	62,76 ;
G3VM5;ZL-TA/ 500;TRASFORMATORE DI CORRENTE 500/5A  Classe 0,5 VA 6 In Esaurimento; 	61,31 ;
G3VNB;ZL-TA/ 800;TRASFORMATORE DI CORRENTE 800/5A  Classe 0,5 VA 10 In Esaurimento; 	64,20 ;
G3VNE;ZL-TA/1000;TRASFORMATORE DI CORRENTE 1000/5A  Classe 0,5 VA 20 In Esaurimento; 	69,25 ;
G3VNG;ZL-TA/1500;TRASFORMATORE DI CORRENTE 1500/5A  Classe 0,5 VA 30 In Esaurimento; 	98,82 ;
G3VNH;ZL-TA/2000;TRASFORMATORE DI CORRENTE 2000/5A  Classe 0,5 VA 30 In Esaurimento; 	124,10 ;
Strumenti di Misura - Relè Amperometrici e Voltmetrici di Minima/Massima - Serie ZC;;;;
G3V80;ZC-RCFS;RELE' CONTROLLO FASI SEMPLIFICATO - 400V; 	64,97 ;
G3V85;ZC-RMXT/230;RELE' VOLTMETRICO DI MAX TENSIONE ALTERNATA MONOF. 230 V In Esaurimento; 	134,30 ;
Trasformatori di Sicurezza - Serie ZC;;;;
G3V3C;ZC-TRI/40-12;TRASFORMATORE DI SICUREZZA SERVIZIO INTERMITTENTE 4-8-12V/40VA In Esaurimento; 	24,27 ;
Trasformatori di Sicurezza - Serie BY;;;;
G3W2A;BYTB1524;TRASFORMATORE DI SICUREZZA SERVIZIO INTERMITTENTE 230/12-24V 15VA 2 MOD.; 	35,10 ;
G3W2D;BYTB4024;TRASFORMATORE DI SICUREZZA SERVIZIO INTERMITTENTE 230/12-24V 40VA 3 MOD.; 	55,20 ;
G3W2E;BYTBSC63;TRASFORMATORE DI SICUREZZA SERVIZIO CONTINUO 230/12-24V 63VA 6 MOD.; 	97,77 ;
Trasformatori di Sicurezza - Serie ZE;;;;
G3CQT;ZE-TRC/30-24;TRASFORMATORE DI SICUREZZA SERVIZIO CONTINUO 230/12-24V/30VA 3 MOD. In Esaurimento; 	52,61 ;
G3CQX;ZE-TRC/63-24;TRASFORMATORE DI SICUREZZA SERVIZIO CONTINUO 230/12-24V 63VA 4 MOD. In Esaurimento; 	119,30 ;
Scaricatori Sovratensioni - Serie ZL;;;;
G3V18;ZL-SCB/40;SCARICATORE DI SOVRATENSIONE ESEC. ESTRAIBILE 40kA (Nom.) 100kA (Max)  CLASSE B  In Esaurimento; 	194,70 ;
G3VDY;ZL-SCE/30;SCARICATORE DI SOVRATENSIONE ESECUZIONE ESTRAIBILE 30kA (Nom.) 70kA (Max) CLASSE C  In Esaurimento; 	131,10 ;
Scaricatori Sovratensioni - Nuova Serie ZL;;;;
G3V16;ZL-SCB/100-25;SCARICATORE DI SOVRATENSIONE ESEC. ESTRAIBILE 25kA (Nom.) 100kA (Max) CLASSE 2, 25kA (Imp) CLASSE 1  In Esaurimento; 	210,50 ;
G3V2H;ZL-SGA/10 LN;SCARICATORE DI SOVRATENSIONE A GAS ESEC. ESTRAIBILE 5kA (Nom.) 10kA (Max) FASE/NEUTRO CLASSE 3  In Esaurimento; 	110,50 ;
G3VD1;PROBAR 1/2;SBARRETTE CONNESSIONE TERRA PER 2 SCARICATORI SCE   In Esaurimento; 	7,56 ;
G3VD3;PROBAR 1/4;SBARRETTE CONNESSIONE TERRA PER 4 SCARICATORI SCE   In Esaurimento; 	9,64 ;
Barrette di Connessione;;;;
G3BB5;S-1L-210/10 iso;BARRETTE DI COLLEGAMENTO A PUNTALE 1P LUNG 210mm (12x1P) - SEZ 10mmq - 63A; 	4,30 ;
G3BB8;S-1L-1000/10 iso;BARRETTE DI COLLEGAMENTO A PUNTALE 1P LUNG 1000mm (56x1P) - SEZ 10mmq - 63A; 	15,86 ;
G3BCB;S-1L-1000/16 iso;BARRETTE DI COLLEGAMENTO A PUNTALE 1P LUNG 1000mm (56x1P) - SEZ 16mmq - 80A; 	20,91 ;
G3BCH;S-2L-320/10;BARRETTE DI COLLEGAMENTO A PUNTALE 2P-1P+N LUNG 320mm (9x2P) - SEZ 10mmq - 63A; 	18,99 ;
G3BCL;S-2L-1000/10;BARRETTE DI COLLEGAMENTO A PUNTALE 2P-1P+N LUNG 1000mm (28x2P) - SEZ 10mmq - 63A; 	35,29 ;
G3BCP;S-2L-1000/16;BARRETTE DI COLLEGAMENTO A PUNTALE 2P-1P+N LUNG 1000mm (28x2P) - SEZ 16mmq - 80A; 	42,72 ;
G3BCS;S-3L-210/10;BARRETTE DI COLLEGAMENTO A PUNTALE 3P LUNG 210mm (4x3P) - SEZ 10mmq - 63A; 	8,94 ;
G3BCV;S-3L-320/10;BARRETTE DI COLLEGAMENTO A PUNTALE 3P LUNG 320mm (6x3P) - SEZ 10mmq - 63A; 	19,94 ;
G3BCY;S-3L-1000/10;BARRETTE DI COLLEGAMENTO A PUNTALE 3P LUNG 1000mm (19x3P) - SEZ 10mmq - 63A; 	37,71 ;
G3BC2;S-3L-1000/16;BARRETTE DI COLLEGAMENTO A PUNTALE 3P LUNG 1000mm (19x3P) - SEZ 16mmq - 80A; 	51,58 ;
G3BC5;S-4L-1000/16;BARRETTE DI COLLEGAMENTO A PUNTALE 4P LUNG 1000mm (14x4P) - SEZ 16mmq - 80A; 	82,29 ;
G3BC8;EK-C-2/10;CAPPUCCIO PROTEZIONE LATERALE PER BARRETTE 2P SEZ 10mmq; 	0,81 ;
G3BDB;EK-C-3/10;CAPPUCCIO PROTEZIONE LATERALE PER BARRETTE 3P SEZ 10mmq; 	0,81 ;
G3BDE;EK-C-2+3/16;CAPPUCCIO PROTEZIONE LATERALE PER BARRETTE 2-3P SEZ 16mmq; 	0,81 ;
G3BDH;EK-C-4/16;CAPPUCCIO PROTEZIONE LATERALE PER BARRETTE 4P SEZ 16mmq; 	0,81 ;
G3BDL;AS/25-SN;TERMINALE A PUNTALE ISOLATO USCITA VERT. CAVO MAX SEZ. 25mmq; 	2,68 ;
G3BDS;AS/25-GN;TERMINALE A FORCELLA ISOLATO USCITA VERT. CAVO MAX SEZ. 25mmq; 	2,68 ;
Portafusibili Sezionabili DF Electric GR 10x38;;;;
G2KB1;485101;PORTAFUSIBILE SEZIONABILE 1P (1 Mod.) GR.10x38; 	3,76 ;
G2KB7;485120;PORTAFUSIBILE SEZIONABILE 1P+N (1 Mod.) GR.10x38; 	7,63 ;
G2KB8;485103;PORTAFUSIBILE SEZIONABILE 1P+N (2 Mod.) GR.10x38; 	10,25 ;
G2KB9;485104;PORTAFUSIBILE SEZIONABILE 2P (2 Mod.) GR.10x38; 	9,00 ;
G2KBE;485105;PORTAFUSIBILE SEZIONABILE 3P (3 Mod.) GR.10x38; 	13,45 ;
G2KBF;485106;PORTAFUSIBILE SEZIONABILE 3P+N (4 Mod.) GR.10x38; 	18,43 ;
G2KBG;485121;PORTAFUSIBILE SEZIONABILE 3P+N (3 Mod.) GR.10x38; 	17,88 ;
Portafusibili Sezionabili DF Electric GR 14x51;;;;
G2KBX;485201;PORTAFUSIBILE SEZIONABILE 1P (1,5 Mod.) GR.14x51; 	11,69 ;
G2KBY;485203;PORTAFUSIBILE SEZIONABILE 1P+N (3 Mod.) GR.14x51; 	25,47 ;
G2KBZ;485210;PORTAFUSIBILE SEZIONABILE 2P (3 Mod.) GR.14x51; 	25,83 ;
G2KC5;485205;PORTAFUSIBILE SEZIONABILE 3P (4,5 Mod.) GR.14x51; 	37,98 ;
G2KC6;485206;PORTAFUSIBILE SEZIONABILE 3P+N (6 Mod.) GR.14x51; 	51,33 ;
Portafusibili Sezionabili DF Electric GR 22x58;;;;
G2KD3;485301;PORTAFUSIBILE SEZIONABILE 1P (2 Mod.) GR.22x58; 	23,70 ;
G2KD6;485303;PORTAFUSIBILE SEZIONABILE 1P+N (4 Mod.) GR.22x58; 	60,01 ;
G2KD9;485304;PORTAFUSIBILE SEZIONABILE 2P (4 Mod.) GR.22x58; 	57,75 ;
G2KDD;485305;PORTAFUSIBILE SEZIONABILE 3P (6 Mod.) GR.22x58; 	87,23 ;
G2KDE;485306;PORTAFUSIBILE SEZIONABILE 3P+N (8 Mod.) GR.22x58; 	120,30 ;
Fusibili DF Electric GR 10x38 - caratteristica gL-gG;;;;
G2KG3;420000;FUSIBILE GR. 10,3x38 CARATTERISTICA gG 0,5A   Minimo ordinabile n°10 pezzi; 	0,99 ;
G2KG4;420001;FUSIBILE GR. 10,3x38 CARATTERISTICA gG 1A  Minimo ordinabile n°10 pezzi; 	0,87 ;
G2KG5;420002;FUSIBILE GR. 10,3x38 CARATTERISTICA gG 2A  Minimo ordinabile n°10 pezzi; 	0,87 ;
G2KG6;420004;FUSIBILE GR. 10,3x38 CARATTERISTICA gG 4A Minimo ordinabile n°10 pezzi; 	0,87 ;
G2KG7;420006;FUSIBILE GR. 10,3x38 CARATTERISTICA gG 6A  Minimo ordinabile n°10 pezzi; 	0,87 ;
G2KG8;420008;FUSIBILE GR. 10,3x38 CARATTERISTICA gG 8A      Minimo ordinabile n°10 pezzi; 	0,87 ;
G2KG9;420010;FUSIBILE GR. 10,3x38 CARATTERISTICA gG 10A   Minimo ordinabile n°10 pezzi; 	0,87 ;
G2KGA;420012;FUSIBILE GR. 10,3x38 CARATTERISTICA gG 12A  Minimo ordinabile n°10 pezzi; 	0,87 ;
G2KGB;420016;FUSIBILE GR. 10,3x38 CARATTERISTICA gG 16A   Minimo ordinabile n°10 pezzi; 	0,87 ;
G2KGH;420020;FUSIBILE GR. 10,3x38 CARATTERISTICA gG 20A  Minimo ordinabile n°10 pezzi; 	0,87 ;
G2KGJ;420025;FUSIBILE GR. 10,3x38 CARATTERISTICA gG 25A  Minimo ordinabile n°10 pezzi; 	0,99 ;
G2KGK;420032;FUSIBILE GR. 10,3x38 CARATTERISTICA gG 32A  Minimo ordinabile n°10 pezzi; 	0,99 ;
Fusibili DF Electric GR 14x51 - caratteristica gL-gG;;;;
G2KJ8;421001;FUSIBILE GR. 14x51 CARATTERISTICA gG 1A   Minimo ordinabile n°10 pezzi; 	1,54 ;
G2KJ9;421002;FUSIBILE GR. 14x51 CARATTERISTICA gG 2A   Minimo ordinabile n°10 pezzi; 	1,54 ;
G2KJA;421004;FUSIBILE GR. 14x51 CARATTERISTICA gG 4A   Minimo ordinabile n°10 pezzi; 	1,54 ;
G2KJB;421006;FUSIBILE GR. 14x51 CARATTERISTICA gG 6A   Minimo ordinabile n°10 pezzi; 	1,54 ;
G2KJC;421008;FUSIBILE GR. 14x51 CARATTERISTICA gG 8A   Minimo ordinabile n°10 pezzi; 	1,38 ;
G2KJD;421010;FUSIBILE GR. 14x51 CARATTERISTICA gG 10A   Minimo ordinabile n°10 pezzi; 	1,46 ;
G2KJK;421012;FUSIBILE GR. 14x51 CARATTERISTICA gG 12A   Minimo ordinabile n°10 pezzi; 	1,46 ;
G2KJL;421016;FUSIBILE GR. 14x51 CARATTERISTICA gG 16A   Minimo ordinabile n°10 pezzi; 	1,46 ;
G2KJM;421020;FUSIBILE GR. 14x51 CARATTERISTICA gG 20A   Minimo ordinabile n°10 pezzi; 	1,51 ;
G2KJN;421025;FUSIBILE GR. 14x51 CARATTERISTICA gG 25A   Minimo ordinabile n°10 pezzi; 	1,51 ;
G2KJP;421032;FUSIBILE GR. 14x51 CARATTERISTICA gG 32A   Minimo ordinabile n°10 pezzi; 	1,51 ;
G2KJQ;421040;FUSIBILE GR. 14x51 CARATTERISTICA gG 40A   Minimo ordinabile n°10 pezzi; 	1,58 ;
G2KJR;421050;FUSIBILE GR. 14x51 CARATTERISTICA gG 50A   Minimo ordinabile n°10 pezzi; 	1,58 ;
Fusibili DF Electric GR 22x58 - caratteristica gL-gG;;;;
G2KMH;422002;FUSIBILE GR. 22x58 CARATTERISTICA gG 2A   Minimo ordinabile n°10 pezzi; 	4,44 ;
G2KMJ;422004;FUSIBILE GR. 22x58 CARATTERISTICA gG 4A   Minimo ordinabile n°10 pezzi; 	4,44 ;
G2KMK;422006;FUSIBILE GR. 22x58 CARATTERISTICA gG 6A   Minimo ordinabile n°10 pezzi; 	4,44 ;
G2KML;422008;FUSIBILE GR. 22x58 CARATTERISTICA gG 8A   Minimo ordinabile n°10 pezzi; 	4,16 ;
G2KMM;422010;FUSIBILE GR. 22x58 CARATTERISTICA gG 10A   Minimo ordinabile n°10 pezzi; 	4,16 ;
G2KMN;422012;FUSIBILE GR. 22x58 CARATTERISTICA gG 12A   Minimo ordinabile n°10 pezzi; 	4,16 ;
G2KMP;422016;FUSIBILE GR. 22x58 CARATTERISTICA gG 16A   Minimo ordinabile n°10 pezzi; 	4,16 ;
G2KMQ;422020;FUSIBILE GR. 22x58 CARATTERISTICA gG 20A   Minimo ordinabile n°10 pezzi; 	4,16 ;
G2KMR;422025;FUSIBILE GR. 22x58 CARATTERISTICA gG 25A   Minimo ordinabile n°10 pezzi; 	4,16 ;
G2KMX;422032;FUSIBILE GR. 22x58 CARATTERISTICA gG 32A   Minimo ordinabile n°10 pezzi; 	4,16 ;
G2KMY;422040;FUSIBILE GR. 22x58 CARATTERISTICA gG 40A   Minimo ordinabile n°10 pezzi; 	4,16 ;
G2KMZ;422050;FUSIBILE GR. 22x58 CARATTERISTICA gG 50A   Minimo ordinabile n°10 pezzi; 	4,16 ;
G2KN1;422063;FUSIBILE GR. 22x58 CARATTERISTICA gG 63A   Minimo ordinabile n°10 pezzi; 	3,79 ;
G2KN7;422080;FUSIBILE GR. 22x58 CARATTERISTICA gG 80A   Minimo ordinabile n°10 pezzi; 	3,79 ;
G2KN8;422000;FUSIBILE GR. 22x58 CARATTERISTICA gG 100A   Minimo ordinabile n°10 pezzi; 	3,79 ;
G2KN9;422015;FUSIBILE GR. 22x58 CARATTERISTICA gG 125A   Minimo ordinabile n°10 pezzi; 	3,79 ;
Fusibili DF Electric GR 10x38 - caratteristica aM;;;;
G2KH7;440031;FUSIBILE GR. 10,3x38 CARATTERISTICA aM 0,16A   Minimo ordinabile n°10 pezzi; 	0,79 ;
G2KH8;440033;FUSIBILE GR. 10,3x38 CARATTERISTICA aM 0,25A   Minimo ordinabile n°10 pezzi; 	0,79 ;
G2KH9;440000;FUSIBILE GR. 10,3x38 CARATTERISTICA aM 0,5A   Minimo ordinabile n°10 pezzi; 	0,79 ;
G2KHA;440001;FUSIBILE GR. 10,3x38 CARATTERISTICA aM 1A   Minimo ordinabile n°10 pezzi; 	0,79 ;
G2KHB;440002;FUSIBILE GR. 10,3x38 CARATTERISTICA aM 2A   Minimo ordinabile n°10 pezzi; 	0,79 ;
G2KHC;440004;FUSIBILE GR. 10,3x38 CARATTERISTICA aM 4A   Minimo ordinabile n°10 pezzi; 	0,79 ;
G2KHJ;440006;FUSIBILE GR. 10,3x38 CARATTERISTICA aM 6A   Minimo ordinabile n°10 pezzi; 	0,79 ;
G2KHK;440008;FUSIBILE GR. 10,3x38 CARATTERISTICA aM 8A   Minimo ordinabile n°10 pezzi; 	0,79 ;
G2KHL;440010;FUSIBILE GR. 10,3x38 CARATTERISTICA aM 10A   Minimo ordinabile n°10 pezzi; 	0,79 ;
G2KHM;440012;FUSIBILE GR. 10,3x38 CARATTERISTICA aM 12A   Minimo ordinabile n°10 pezzi; 	0,79 ;
G2KHN;440016;FUSIBILE GR. 10,3x38 CARATTERISTICA aM 16A   Minimo ordinabile n°10 pezzi; 	0,79 ;
G2KHP;440020;FUSIBILE GR. 10,3x38 CARATTERISTICA aM 20A   Minimo ordinabile n°10 pezzi; 	0,79 ;
G2KHQ;440025;FUSIBILE GR. 10,3x38 CARATTERISTICA aM 25A   Minimo ordinabile n°10 pezzi; 	0,79 ;
G2KHR;440032;FUSIBILE GR. 10,3x38 CARATTERISTICA aM 32A   Minimo ordinabile n°10 pezzi  In Esaurimento; 	0,78 ;
Fusibili DF Electric GR 14x51 - caratteristica aM;;;;
G2KKX;441031;FUSIBILE GR. 14x51 CARATTERISTICA aM 0,25A   Minimo ordinabile n°10 pezzi; 	2,46 ;
G2KKY;441000;FUSIBILE GR. 14x51 CARATTERISTICA aM 0,5A   Minimo ordinabile n°10 pezzi; 	2,46 ;
G2KKZ;441001;FUSIBILE GR. 14x51 CARATTERISTICA aM 1A   Minimo ordinabile n°10 pezzi; 	2,46 ;
G2KL1;441002;FUSIBILE GR. 14x51 CARATTERISTICA aM 2A   Minimo ordinabile n°10 pezzi; 	2,46 ;
G2KL2;441004;FUSIBILE GR. 14x51 CARATTERISTICA aM 4A   Minimo ordinabile n°10 pezzi; 	2,46 ;
G2KL3;441006;FUSIBILE GR. 14x51 CARATTERISTICA aM 6A   Minimo ordinabile n°10 pezzi; 	2,46 ;
G2KL4;441008;FUSIBILE GR. 14x51 CARATTERISTICA aM 8A   Minimo ordinabile n°10 pezzi; 	2,46 ;
G2KL5;441010;FUSIBILE GR. 14x51 CARATTERISTICA aM 10A   Minimo ordinabile n°10 pezzi; 	2,46 ;
G2KL6;441012;FUSIBILE GR. 14x51 CARATTERISTICA aM 12A   Minimo ordinabile n°10 pezzi; 	2,46 ;
G2KL7;441016;FUSIBILE GR. 14x51 CARATTERISTICA aM 16A   Minimo ordinabile n°10 pezzi; 	2,46 ;
G2KLA;441020;FUSIBILE GR. 14x51 CARATTERISTICA aM 20A   Minimo ordinabile n°10 pezzi; 	2,46 ;
G2KLB;441025;FUSIBILE GR. 14x51 CARATTERISTICA aM 25A   Minimo ordinabile n°10 pezzi; 	2,46 ;
G2KLC;441032;FUSIBILE GR. 14x51 CARATTERISTICA aM 32A   Minimo ordinabile n°10 pezzi; 	2,46 ;
G2KLD;441040;FUSIBILE GR. 14x51 CARATTERISTICA aM 40A   Minimo ordinabile n°10 pezzi; 	2,46 ;
G2KLE;441045;FUSIBILE GR. 14x51 CARATTERISTICA aM 45A   Minimo ordinabile n°10 pezzi; 	2,46 ;
G2KLF;441050;FUSIBILE GR. 14x51 CARATTERISTICA aM 50A   Minimo ordinabile n°10 pezzi; 	2,46 ;
Fusibili DF Electric GR 22x58 - caratteristica aM;;;;
G2KPD;442002;FUSIBILE GR. 22x58 CARATTERISTICA aM 2A   Minimo ordinabile n°10 pezzi; 	3,11 ;
G2KPE;442004;FUSIBILE GR. 22x58 CARATTERISTICA aM 4A   Minimo ordinabile n°10 pezzi; 	2,86 ;
G2KPF;442006;FUSIBILE GR. 22x58 CARATTERISTICA aM 6A   Minimo ordinabile n°10 pezzi; 	2,80 ;
G2KPG;442008;FUSIBILE GR. 22x58 CARATTERISTICA aM 8A   Minimo ordinabile n°10 pezzi; 	2,80 ;
G2KPH;442010;FUSIBILE GR. 22x58 CARATTERISTICA aM 10A   Minimo ordinabile n°10 pezzi; 	2,80 ;
G2KPJ;442012;FUSIBILE GR. 22x58 CARATTERISTICA aM 12A   Minimo ordinabile n°10 pezzi; 	2,80 ;
G2KPK;442016;FUSIBILE GR. 22x58 CARATTERISTICA aM 16A   Minimo ordinabile n°10 pezzi; 	2,80 ;
G2KPL;442020;FUSIBILE GR. 22x58 CARATTERISTICA aM 20A   Minimo ordinabile n°10 pezzi; 	2,80 ;
G2KPM;442025;FUSIBILE GR. 22x58 CARATTERISTICA aM 25A   Minimo ordinabile n°10 pezzi; 	2,80 ;
G2KPT;442032;FUSIBILE GR. 22x58 CARATTERISTICA aM 32A   Minimo ordinabile n°10 pezzi; 	2,80 ;
G2KPU;442040;FUSIBILE GR. 22x58 CARATTERISTICA aM 40A   Minimo ordinabile n°10 pezzi; 	2,80 ;
G2KPV;442050;FUSIBILE GR. 22x58 CARATTERISTICA aM 50A   Minimo ordinabile n°10 pezzi; 	2,80 ;
G2KPW;442063;FUSIBILE GR. 22x58 CARATTERISTICA aM 63A   Minimo ordinabile n°10 pezzi; 	2,80 ;
G2KPX;442080;FUSIBILE GR. 22x58 CARATTERISTICA aM 80A   Minimo ordinabile n°10 pezzi; 	2,95 ;
G2KPY;442000;FUSIBILE GR. 22x58 CARATTERISTICA aM 100A   Minimo ordinabile n°10 pezzi; 	2,86 ;
G2KPZ;442015;FUSIBILE GR. 22x58 CARATTERISTICA aM 125A  Minimo ordinabile n°10 pezzi; 	3,03 ;
Fusibili DF Electric GR 10x38 - caratteristica aR;;;;
G2KQJ;491115;FUSIBILE GR. 10,3x38 CARATTERISTICA aR 6A; 	11,41 ;
G2KQN;491125;FUSIBILE GR. 10,3x38 CARATTERISTICA aR 10A; 	11,41 ;
G2KQR;491135;FUSIBILE GR. 10,3x38 CARATTERISTICA aR 16A; 	11,41 ;
G2KQT;491140;FUSIBILE GR. 10,3x38 CARATTERISTICA aR 20A; 	11,41 ;
G2KQV;491145;FUSIBILE GR. 10,3x38 CARATTERISTICA aR 25A; 	11,41 ;
G2KQX;491155;FUSIBILE GR. 10,3x38 CARATTERISTICA aR 32A; 	11,41 ;
Fusibili DF Electric GR 14x51 - caratteristica aR;;;;
G2KRT;491260;FUSIBILE GR. 14x51 CARATTERISTICA aR 32A; 	18,97 ;
G2KRV;491265;FUSIBILE GR. 14x51 CARATTERISTICA aR 40A; 	29,39 ;
Fusibili DF Electric GR 22x58 - caratteristica aR;;;;
G2KSL;491315;FUSIBILE GR. 22x58 CARATTERISTICA aR 40A; 	31,13 ;
G2KSN;491320;FUSIBILE GR. 22x58 CARATTERISTICA aR 50A; 	23,75 ;
G2KSP;491325;FUSIBILE GR. 22x58 CARATTERISTICA aR 63A; 	38,02 ;
G2KSS;491330;FUSIBILE GR. 22x58 CARATTERISTICA aR 80A; 	37,36 ;
G2KST;491335;FUSIBILE GR. 22x58 CARATTERISTICA aR 100A; 	44,26 ;
Centralini da Parete;;;;
G3V59;BV36PT;CENTRALINO DA PARETE PORTA TRASPAR.  - IP40 - 36 MOD. - RAL 9010  In Esaurimento; 	52,78 ;
G3V8B;CDN6PT;CENTRALINO DA PARETE PORTA TRASPARENTE IP65 - 6 MOD. RAL 7035  In Esaurimento; 	33,93 ;
Centralini da Incasso;;;;
G3V60;BM4PT;CENTRALINO DA INCASSO PORTA TRASPAR.  - IP40 - 4 MOD. - RAL 9010  In Esaurimento; 	12,16 ;
G3V61;BM8PT;CENTRALINO DA INCASSO PORTA TRASPAR.  - IP40 - 8 MOD. - RAL 9010  In Esaurimento; 	15,82 ;
G3V62;BM12PT;CENTRALINO DA INCASSO PORTA TRASPAR. - IP40 - 12 MOD. - RAL 9010  In Esaurimento; 	20,55 ;
G3V63;BM24PT;CENTRALINO DA INCASSO PORTA TRASPAR. - IP40 - 24 MOD. - RAL 9010  In Esaurimento; 	35,79 ;
G3V64;BM36PT;CENTRALINO DA INCASSO PORTA TRASPAR.  - IP40 - 36 MOD. - RAL 9010  In Esaurimento; 	47,76 ;
Accessori Centralini;;;;
G3V72;92303;BARRA NEUTRO/TERRA 6FORI (2x16mmq) + (4x10mmq) PER BV/BM  In Esaurimento; 	2,98 ;
G3V76;77540;SUPPORTO BARRA N/T PER BV/BM  In Esaurimento; 	1,52 ;
G3V78;92150;CHIAVE DI SICUREZZA  CON CHIAVE PER CDN  In Esaurimento; 	30,26 ;
INTERRUTTORI DI POTENZA SCATOLATI SIEI ARTPower;;;;
Interruttori Magnetotermici Scatolati - Tripolari;;;;
P1T1A;MP1-20B3M;INTERRUTTORE MAGNETOTERMICO 3P 20A 25KA REGOLAZIONE MAGNETOTERMICA; 	302,60 ;
P1T1B;MP1-32B3M;INTERRUTTORE MAGNETOTERMICO 3P 32A 25KA REGOLAZIONE MAGNETOTERMICA; 	302,60 ;
P1T1C;MP1-50B3M;INTERRUTTORE MAGNETOTERMICO 3P 50A 25KA REGOLAZIONE MAGNETOTERMICA; 	288,10 ;
P1T1D;MP1-63B3M;INTERRUTTORE MAGNETOTERMICO 3P 63A 25KA REGOLAZIONE MAGNETOTERMICA; 	288,10 ;
P1T1E;MP1-100B3M;INTERRUTTORE MAGNETOTERMICO 3P 100A 25KA REGOLAZIONE MAGNETOTERMICA; 	296,60 ;
P1T1F;MP1-125B3M;INTERRUTTORE MAGNETOTERMICO 3P 125A 25KA REGOLAZIONE MAGNETOTERMICA; 	311,10 ;
P1T1G;MP1-20C3M;INTERRUTTORE MAGNETOTERMICO 3P 20A 36KA REGOLAZIONE MAGNETOTERMICA; 	339,70 ;
P1T1H;MP1-32C3M;INTERRUTTORE MAGNETOTERMICO 3P 32A 36KA REGOLAZIONE MAGNETOTERMICA; 	339,70 ;
P1T1J;MP1-50C3M;INTERRUTTORE MAGNETOTERMICO 3P 50A 36KA REGOLAZIONE MAGNETOTERMICA; 	339,70 ;
P1T1K;MP1-63C3M;INTERRUTTORE MAGNETOTERMICO 3P 63A 36KA REGOLAZIONE MAGNETOTERMICA; 	339,70 ;
P1T1L;MP1-100C3M;INTERRUTTORE MAGNETOTERMICO 3P 100A 36KA REGOLAZIONE MAGNETOTERMICA; 	339,70 ;
